date,china_return,china_vol,usa_return1,usa1_vol,usa_return2,usa2_vol,euro_return,euro_vol,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility
2013-4-16,-0.015008662,0.010930785,0.005905215,0.0064207,0.015398218,0.01218675,-0.009121332,0.009887838,-2.633,-0.17,-0.568,-0.339,-0.327,-1.229
2013-4-17,-0.001956728,0.011115775,0.001415981,0.005914195,-0.004017635,0.012551917,-0.021530044,0.013829954,-2.416,-0.147,-0.52,-0.316,-0.329,-1.104
2013-4-18,0.021961466,0.01317324,-0.000195189,0.00591873,-0.012475096,0.013876148,0.013280959,0.014601814,-2.35,-0.153,-0.481,-0.315,-0.338,-1.063
2013-4-19,-0.000585961,0.013398573,0.002144982,0.005295856,0.01918211,0.014390088,0.001441961,0.013878872,-2.573,-0.159,-0.528,-0.344,-0.338,-1.204
2013-4-22,0.001308803,0.013449061,-0.000316583,0.005217823,0.004802931,0.014059366,-0.005272305,0.01333015,-2.607,-0.17,-0.561,-0.329,-0.331,-1.216
2013-4-23,0.013891421,0.013852615,0.001654864,0.00524872,0.006512495,0.014236204,0.01895129,0.015163079,-2.778,-0.191,-0.616,-0.337,-0.325,-1.309
2013-4-24,0.001364702,0.011870374,0.00767865,0.003042417,-0.017361719,0.013681037,0.001088491,0.013620728,-2.853,-0.192,-0.66,-0.329,-0.344,-1.328
2013-4-25,-0.005152187,0.009778996,0.010609033,0.00419283,0.00477223,0.012444013,0.000829409,0.013037063,-2.926,-0.212,-0.692,-0.325,-0.333,-1.364
2013-4-26,-0.000170743,0.009607155,-0.010826228,0.006827528,0.00027884,0.012306385,0.000699855,0.00846871,-2.878,-0.208,-0.67,-0.29,-0.324,-1.386
2013-4-29,0.006081395,0.006061183,0.003661861,0.006820197,0.004312107,0.01083201,0.010275474,0.008008977,-2.942,-0.227,-0.694,-0.288,-0.33,-1.403
2013-4-30,-0.012665364,0.008340827,0.007880375,0.007164206,-0.007863162,0.00882452,0.001638688,0.007998835,-2.991,-0.237,-0.697,-0.29,-0.33,-1.437
2013-5-1,0.000697338,0.008336166,-0.002938895,0.007424627,-0.01076986,0.0091768,-0.000636948,0.007257927,-2.958,-0.234,-0.669,-0.285,-0.334,-1.436
2013-5-2,-0.007748133,0.006352625,0.00926517,0.007821469,0.010549999,0.009958681,-0.007840311,0.005280031,-3.003,-0.245,-0.681,-0.27,-0.34,-1.467
2013-5-3,-0.00143892,0.00615261,0.004895536,0.007649533,0.005899487,0.007724506,0.004759037,0.005484244,-3.198,-0.289,-0.722,-0.328,-0.351,-1.508
2013-5-7,-0.000948188,0.006102678,0.005646144,0.007057757,-0.003025119,0.007656092,-0.004098741,0.005870794,-3.272,-0.321,-0.782,-0.346,-0.361,-1.462
2013-5-8,-0.002376316,0.006030131,0.005917661,0.003926637,0.001871877,0.007692413,0.017070504,0.008534116,-3.333,-0.32,-0.814,-0.339,-0.379,-1.481
2013-5-9,0.004271795,0.005619306,-0.003574478,0.005088739,0.001113497,0.007495717,-0.009035252,0.008912116,-3.283,-0.329,-0.792,-0.362,-0.367,-1.433
2013-5-10,0.013237309,0.006557156,-0.004057181,0.00550418,0.012049529,0.007921284,0.001926153,0.008920158,-3.328,-0.35,-0.831,-0.416,-0.381,-1.35
2013-5-13,0.005198592,0.006761389,-0.00016451,0.00516485,0.007686854,0.005441071,0.001306217,0.008916145,-3.289,-0.335,-0.83,-0.416,-0.362,-1.346
2013-5-14,0.004567781,0.005440313,0.005858659,0.004552037,0.010003767,0.005354173,0.002571161,0.008108445,-3.344,-0.338,-0.854,-0.435,-0.37,-1.347
2013-5-15,0.010689349,0.005638424,0.006056813,0.004691021,0.003216335,0.005382174,0.002348097,0.008026036,-3.343,-0.33,-0.898,-0.424,-0.363,-1.328
2013-5-16,-0.001216887,0.005685974,0.004449292,0.004566356,-0.010884698,0.007618235,-7.22E-05,0.007675568,-3.292,-0.311,-0.874,-0.404,-0.356,-1.347
2013-5-17,0.000496718,0.005150856,-0.001457743,0.004377429,0.00511877,0.007595741,-0.011997712,0.006043679,-3.333,-0.332,-0.904,-0.424,-0.346,-1.327
2013-5-20,0.005335747,0.005130405,-0.009305422,0.005711636,-0.006869812,0.00863695,0.00473641,0.005535175,-3.333,-0.337,-0.919,-0.422,-0.339,-1.316
2013-5-21,0.008720382,0.004188667,-0.003816933,0.005682459,0.010094344,0.008317568,0.006015601,0.005957646,-3.322,-0.332,-0.921,-0.421,-0.353,-1.295
2013-5-22,0.018444479,0.006651971,-0.00077453,0.005694209,-0.001022229,0.008082003,0.012012965,0.00735048,-3.301,-0.354,-0.92,-0.453,-0.351,-1.223
2013-5-23,-0.016437189,0.011060977,-0.013354805,0.006968733,-3.86E-05,0.007131369,-0.014038282,0.009568421,-2.643,-0.319,-0.755,-0.436,-0.349,-0.784
2013-5-24,0.003954578,0.010638457,-0.0012143,0.005927332,-0.002395812,0.00701683,0.004334954,0.009683382,-2.68,-0.308,-0.759,-0.418,-0.335,-0.86
2013-5-28,0.019970694,0.012216496,0.009036099,0.007106729,0.010104498,0.006481694,0.00028833,0.009683014,-2.751,-0.335,-0.763,-0.473,-0.323,-0.857
2013-5-29,-0.025721523,0.017136124,-0.003571475,0.007075912,-0.015068924,0.008955372,-0.017082007,0.010868041,-2.495,-0.285,-0.702,-0.452,-0.335,-0.721
2013-5-30,-0.002848563,0.01715283,-0.002799859,0.006562099,0.007996867,0.009022625,0.006175904,0.01099722,-2.391,-0.282,-0.641,-0.445,-0.327,-0.696
2013-5-31,-0.006949474,0.016979024,-0.007488885,0.006839212,-0.021580416,0.011521372,-0.017196823,0.012199714,-2.251,-0.256,-0.593,-0.436,-0.333,-0.633
2013-6-3,-0.008188263,0.014619008,-0.008172729,0.007028435,0.004875278,0.011911372,-0.00880407,0.010104413,-2.159,-0.22,-0.599,-0.427,-0.339,-0.574
2013-6-4,-0.004665059,0.013759241,0.014044569,0.008404791,-0.007578702,0.012013175,0.007134837,0.010666206,-2.234,-0.219,-0.622,-0.444,-0.34,-0.609
2013-6-5,-0.014831747,0.01389605,-0.011465353,0.009472091,-0.01444945,0.012693506,-0.008275909,0.010156881,-1.904,-0.159,-0.497,-0.408,-0.336,-0.504
2013-6-6,-0.010837083,0.00775749,-0.010600293,0.008713085,0.01442969,0.013627859,-0.004690176,0.009862696,-1.836,-0.119,-0.477,-0.383,-0.351,-0.506
2013-6-7,0.011087425,0.008241503,2.43E-05,0.008867373,0.010672586,0.01376736,0.015135545,0.011299344,-1.971,-0.149,-0.516,-0.418,-0.332,-0.556
2013-6-10,0.00201797,0.008678312,-0.00894456,0.009056333,0.001621363,0.013290663,0.001406704,0.010895741,-2.057,-0.149,-0.562,-0.457,-0.341,-0.548
2013-6-11,-0.004543035,0.008618283,-0.019258294,0.010626066,-0.004381768,0.010247714,0.000850466,0.008656468,-1.696,-0.068,-0.482,-0.409,-0.325,-0.412
2013-6-12,0.004411879,0.008974425,0.004843229,0.011364819,-0.010127766,0.010793396,0.010277621,0.008273205,-1.58,-0.086,-0.452,-0.413,-0.302,-0.327
2013-6-13,-0.001904335,0.008922908,-0.008327859,0.007906965,0.014255759,0.011817305,-0.007269822,0.008877492,-1.356,-0.072,-0.384,-0.382,-0.303,-0.215
2013-6-14,-0.002076014,0.006976155,0.009746422,0.010000048,-0.002267309,0.00975711,0.001546506,0.007875208,-1.56,-0.098,-0.404,-0.346,-0.324,-0.388
2013-6-17,0.005717717,0.00542858,0.002806305,0.009953167,0.001759566,0.008473176,0.008882761,0.00748086,-1.756,-0.109,-0.467,-0.358,-0.329,-0.493
2013-6-18,-0.002722218,0.003917884,-0.004249773,0.009886913,0.008209364,0.008077823,-0.003799855,0.00628099,-1.778,-0.111,-0.472,-0.389,-0.343,-0.463
2013-6-19,-0.004701379,0.004191486,-0.000996711,0.009587948,-0.016309433,0.010451539,-0.000677451,0.006346225,-1.698,-0.123,-0.455,-0.426,-0.337,-0.357
2013-6-20,-0.035785766,0.013988211,-0.032430892,0.013841771,-0.025872884,0.014054774,-0.046064844,0.019061124,-0.962,-0.031,-0.293,-0.476,-0.304,0.142
2013-6-21,-0.006741458,0.013317492,-0.007703681,0.013294164,0.008471813,0.014527553,-0.008938951,0.017784622,-0.983,-0.026,-0.283,-0.513,-0.267,0.106
2013-6-24,-0.009611665,0.013154432,-0.015877709,0.0138217,-0.006916964,0.012752628,-0.020488674,0.018380302,-0.445,0.083,-0.199,-0.528,-0.201,0.4
2013-6-25,0.002802015,0.013640105,0.000158186,0.012279421,0.0045095,0.013217181,0.008868671,0.019326569,-0.742,0.073,-0.233,-0.536,-0.259,0.213
2013-6-26,0.018541267,0.016283546,0.011376269,0.013895409,0.014219998,0.014822219,0.021268331,0.021651773,-0.992,0.047,-0.281,-0.51,-0.314,0.066
2013-6-27,0.015064021,0.018071461,0.02580639,0.018727682,0.003814649,0.014407174,0.014385178,0.023155148,-1.297,0.009,-0.352,-0.502,-0.324,-0.128
2013-6-28,-0.003638785,0.018058452,0.022130743,0.021002721,-0.008160885,0.013407819,-0.002780959,0.023110559,-1.405,-0.016,-0.397,-0.508,-0.317,-0.167
2013-7-1,0.007819921,0.010854113,0.00545082,0.015177778,0.007450448,0.008171845,0.006721572,0.014368774,-1.365,-0.001,-0.396,-0.509,-0.294,-0.165
2013-7-2,0.006802881,0.009897049,-0.000444862,0.014316508,-0.002609264,0.008085153,-0.002449273,0.013684252,-1.44,-0.019,-0.399,-0.512,-0.298,-0.212
2013-7-3,-0.009885779,0.009966629,-0.013488831,0.013696928,-0.002020923,0.007391627,-0.008696119,0.010594984,-1.223,0.014,-0.366,-0.496,-0.266,-0.109
2013-7-5,0.030378545,0.013582234,-0.004268575,0.014174632,0.013435449,0.008492518,0.002660435,0.010508993,-1.486,-0.045,-0.426,-0.556,-0.272,-0.187
2013-7-8,0.009091515,0.012965979,-0.008846037,0.01508288,0.005289004,0.007231674,0.011678827,0.008354484,-1.519,-0.013,-0.427,-0.526,-0.272,-0.281
2013-7-9,0.008963451,0.012608,0.010656128,0.01220497,0.002896102,0.007211236,-0.001389019,0.006772754,-1.774,-0.033,-0.49,-0.507,-0.28,-0.464
2013-7-10,0.004221402,0.011820086,-0.000678401,0.008196096,0.006962874,0.005640197,0.010092035,0.007354493,-1.778,-0.04,-0.485,-0.483,-0.276,-0.494
2013-7-11,-0.004860467,0.012817425,0.009082442,0.008812944,0.012221906,0.00630704,0.012859062,0.008232834,-1.902,-0.042,-0.547,-0.466,-0.291,-0.556
2013-7-12,0.004567738,0.01283318,0.009592935,0.009715537,0.007587146,0.005310195,0.004231589,0.00779908,-1.981,-0.069,-0.552,-0.451,-0.282,-0.627
2013-7-15,-0.001937558,0.011465042,0.006663167,0.007735019,-0.000302383,0.004864933,-0.001811346,0.006110132,-2.044,-0.075,-0.563,-0.455,-0.279,-0.672
2013-7-16,-0.012380838,0.007894653,0.004742821,0.007005875,-0.005363569,0.005745649,-0.005416982,0.007364184,-2.022,-0.092,-0.548,-0.438,-0.296,-0.648
2013-7-17,0.005711228,0.007412675,0.004477656,0.003918114,0.001955443,0.005776904,7.36E-05,0.006708703,-2.201,-0.096,-0.565,-0.434,-0.305,-0.801
2013-7-18,0.005654528,0.006877543,0.001480026,0.003774528,0.002916558,0.00577643,0.002464052,0.006474852,-2.35,-0.134,-0.604,-0.445,-0.301,-0.866
2013-7-19,-0.006622662,0.007024576,-0.007764146,0.005912122,0.013020259,0.006721199,-0.00183827,0.00590772,-2.414,-0.133,-0.577,-0.44,-0.311,-0.953
2013-7-22,-0.007738379,0.00733745,0.004583026,0.005502865,0.004414196,0.005829698,0.002003548,0.003265708,-2.623,-0.155,-0.589,-0.418,-0.297,-1.164
2013-7-23,-0.006240551,0.006892754,0.005651034,0.004935525,-0.003481308,0.006021951,-0.003716177,0.002892571,-2.734,-0.171,-0.599,-0.428,-0.313,-1.223
2013-7-24,0.002547104,0.007246856,0.001667372,0.004641896,-0.001324961,0.006095664,0.005807345,0.003879302,-2.701,-0.174,-0.592,-0.476,-0.331,-1.128
2013-7-25,0.004530129,0.00623996,-0.01004619,0.006313555,0.005419361,0.00531575,-0.002329913,0.003305718,-2.611,-0.162,-0.564,-0.461,-0.319,-1.105
2013-7-26,-0.009557578,0.006450189,0.002970974,0.006159544,0.00505758,0.005316791,-0.002685207,0.003503014,-2.464,-0.153,-0.519,-0.441,-0.315,-1.036
2013-7-29,0.007245153,0.00680327,-0.012035665,0.007511996,-0.003016649,0.005906021,0.004630233,0.003840707,-2.272,-0.156,-0.458,-0.442,-0.313,-0.903
2013-7-30,0.003669313,0.006816011,-0.001280568,0.007090733,0.000518845,0.003861234,-0.003360298,0.004018737,-2.336,-0.157,-0.475,-0.441,-0.316,-0.947
2013-7-31,0.005939256,0.006443129,-0.002912,0.006619928,0.00112941,0.003578275,0.000239083,0.003930137,-2.253,-0.141,-0.446,-0.436,-0.315,-0.915
2013-8-1,0.010890052,0.006416177,0.004487851,0.006398458,0.006804943,0.003724977,-0.00189584,0.003713099,-2.481,-0.19,-0.529,-0.476,-0.324,-0.962
2013-8-2,0.000463663,0.006521115,-0.000541419,0.006213368,0.000238898,0.003528136,0.008932315,0.004601207,-2.602,-0.156,-0.574,-0.445,-0.322,-1.105
2013-8-5,-0.006474474,0.007440072,-0.002489372,0.00533139,-0.001434246,0.003471142,0.002316315,0.004457072,-2.637,-0.175,-0.555,-0.448,-0.328,-1.131
2013-8-6,-0.006483647,0.006717829,-0.011416782,0.00597185,-0.005443069,0.00384029,0.005033583,0.004296816,-2.617,-0.176,-0.534,-0.448,-0.327,-1.132
2013-8-7,-0.013508711,0.008462269,-0.002299081,0.004720792,7.40E-05,0.003630633,0.001032656,0.004181162,-2.424,-0.157,-0.46,-0.412,-0.334,-1.061
2013-8-8,-0.003011684,0.008250076,0.011888026,0.007194037,0.000832154,0.003636142,0.00354277,0.00353765,-2.441,-0.162,-0.457,-0.415,-0.339,-1.068
2013-8-9,0.002897639,0.00784849,0.006210894,0.007497639,-0.003202965,0.003837469,0.002000812,0.003389388,-2.456,-0.164,-0.462,-0.398,-0.344,-1.088
2013-8-12,0.003183419,0.006043184,0.00487752,0.00753066,-0.003939061,0.00239917,-0.001802354,0.003367017,-2.512,-0.171,-0.452,-0.415,-0.342,-1.132
2013-8-13,0.009541311,0.00772066,0.004537479,0.007613973,0.002361584,0.002805365,0.001496183,0.002133451,-2.59,-0.203,-0.503,-0.475,-0.34,-1.069
2013-8-14,-0.004574814,0.007568209,-0.000146049,0.007453232,-0.007400882,0.003571223,0.002895868,0.002161294,-2.56,-0.202,-0.509,-0.472,-0.339,-1.038
2013-8-15,-0.014845552,0.008976499,-0.011334964,0.0074288,-0.017249942,0.006685102,-0.011089151,0.005065156,-2.347,-0.196,-0.423,-0.483,-0.339,-0.906
2013-8-16,0.000283261,0.007680625,-0.002119637,0.007411936,-0.005421102,0.006434638,0.005234808,0.00547811,-2.314,-0.204,-0.407,-0.491,-0.325,-0.887
2013-8-19,-0.003010159,0.007680556,-0.019482915,0.00959162,0.00181667,0.006588706,0.001877121,0.005349746,-2.16,-0.188,-0.379,-0.504,-0.321,-0.768
2013-8-20,0.007535181,0.008245216,-0.019870054,0.010653449,0.002995071,0.007213317,0.00958319,0.006455116,-2.009,-0.148,-0.324,-0.475,-0.326,-0.736
2013-8-21,-0.004472621,0.008218573,-0.009955464,0.009489902,-0.003950802,0.007213347,-0.008591904,0.007415036,-1.853,-0.148,-0.297,-0.497,-0.323,-0.588
2013-8-22,0.008873391,0.008073466,0.00183864,0.008917124,0.006119958,0.007862194,0.002698523,0.007463807,-1.914,-0.152,-0.32,-0.517,-0.316,-0.609
2013-8-23,0.003371415,0.008120812,0.007783143,0.01054371,0.001671225,0.007820907,0.003300274,0.007488118,-2.04,-0.147,-0.372,-0.503,-0.325,-0.693
2013-8-27,-9.74E-05,0.00506255,-0.026455262,0.012755281,-0.015296665,0.007196129,-0.007422952,0.006626794,-1.6,-0.116,-0.263,-0.426,-0.349,-0.446
2013-8-28,-0.008103413,0.006314341,-0.010333681,0.012306067,0.004517718,0.007324366,-0.016406035,0.008940868,-1.506,-0.122,-0.237,-0.448,-0.339,-0.36
2013-8-29,0.00261343,0.006135887,0.017190131,0.015458192,0.003714202,0.007449963,-0.005793386,0.008836283,-1.547,-0.116,-0.271,-0.446,-0.332,-0.382
2013-8-30,-0.014161177,0.007774544,0.019316381,0.016524245,-0.004270605,0.007463934,-0.011763095,0.007209767,-1.453,-0.123,-0.247,-0.444,-0.339,-0.3
